seq_id	class	organism	mtrA_score	mtoA_score	desc
WP_345861283.1	Shewanella_DmsE	Shewanella algae	689.8	292.0	WP_345861283.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QQO83274.1	Shewanella_DmsE	Shewanella algae	689.8	292.0	QQO83274.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_475626890.1	Shewanella_DmsE	Shewanella algae	689.8	292.6	WP_475626890.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_208191654.1	Shewanella_DmsE	Shewanella algae	689.4	292.1	WP_208191654.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_099049509.1	Shewanella_DmsE	Shewanella	689.3	292.2	WP_099049509.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_248952759.1	Shewanella_DmsE	Shewanella sp.	689.2	289.8	WP_248952759.1 DmsE family decaheme c-type cytochrome [Shewanella sp.]
UZD60110.1	Shewanella_DmsE	Shewanella algae	689.2	289.8	UZD60110.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_406818632.1	Shewanella_DmsE	Shewanella	689.2	290.0	WP_406818632.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
PYE59428.1	Shewanella_DmsE	Shewanella chilikensis	689.1	290.2	PYE59428.1 DmsE family decaheme c-type cytochrome [Shewanella chilikensis]
WP_101053332.1	Shewanella_DmsE	Shewanella sp.	689.1	290.2	WP_101053332.1 DmsE family decaheme c-type cytochrome [Shewanella sp.]
WP_373296799.1	Shewanella_DmsE	Shewanella	689.1	290.4	WP_373296799.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
QIJ05195.1	Shewanella_DmsE	Shewanella chilikensis	689.1	290.2	QIJ05195.1 DmsE family decaheme c-type cytochrome [Shewanella chilikensis]
XQK07070.1	Shewanella_DmsE	Shewanella chilikensis	689.1	290.4	XQK07070.1 DmsE family decaheme c-type cytochrome [Shewanella chilikensis]
PWF92873.1	Shewanella_DmsE	Shewanella algae	689.1	290.2	PWF92873.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WYI87316.1	Shewanella_DmsE	Shewanella chilikensis	689.1	290.2	WYI87316.1 DmsE family decaheme c-type cytochrome [Shewanella chilikensis]
WP_475629906.1	Shewanella_DmsE	Shewanella algae	688.8	292.6	WP_475629906.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_234523059.1	Shewanella_DmsE	Shewanella algae	688.8	294.3	WP_234523059.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QTE96492.1	Shewanella_DmsE	Shewanella algae	688.7	292.4	QTE96492.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_371872581.1	Shewanella_DmsE	Shewanella	688.7	292.7	WP_371872581.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_208124499.1	Shewanella_DmsE	Shewanella algae	688.7	292.4	WP_208124499.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_146508747.1	Shewanella_DmsE	Shewanella algae	688.6	294.0	WP_146508747.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_475618262.1	Shewanella_DmsE	Shewanella algae	688.1	293.1	WP_475618262.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_447018237.1	Shewanella_DmsE	Shewanella algae	687.9	291.3	WP_447018237.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_282633807.1	Shewanella_DmsE	Shewanella xiamenensis	687.8	287.1	WP_282633807.1 DmsE family decaheme c-type cytochrome [Shewanella xiamenensis]
WP_234596843.1	Shewanella_DmsE	Shewanella chilikensis	687.7	290.0	WP_234596843.1 DmsE family decaheme c-type cytochrome [Shewanella chilikensis]
WP_438675102.1	Shewanella_DmsE	Shewanella sp.	687.2	286.8	WP_438675102.1 DmsE family decaheme c-type cytochrome [Shewanella sp.]
CAM3152323.1	Shewanella_DmsE	Shewanella algae	686.8	288.1	CAM3152323.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_221051374.1	Shewanella_DmsE	Shewanella algae	686.8	288.1	WP_221051374.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_438679794.1	Shewanella_DmsE	Shewanella sp.	686.7	287.0	WP_438679794.1 DmsE family decaheme c-type cytochrome [Shewanella sp.]
WP_208149284.1	Shewanella_DmsE	Shewanella algae	686.5	294.5	WP_208149284.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_221049431.1	Shewanella_DmsE	Shewanella carassii	686.3	295.1	WP_221049431.1 DmsE family decaheme c-type cytochrome [Shewanella carassii]
WP_100145458.1	Shewanella_DmsE	Shewanella carassii	686.2	292.2	WP_100145458.1 DmsE family decaheme c-type cytochrome [Shewanella carassii]
WP_422917904.1	Shewanella_DmsE	Shewanella algae	684.5	285.4	WP_422917904.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_248988703.1	Shewanella_DmsE	Shewanella gelidimarina	675.7	286.9	WP_248988703.1 DmsE family decaheme c-type cytochrome [Shewanella gelidimarina]
WP_101093613.1	Shewanella_DmsE	unclassified Shewanella	675.2	283.6	WP_101093613.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
QQX78872.1	Shewanella_DmsE	Shewanella sp. KX20019	674.6	280.9	QQX78872.1 DmsE family decaheme c-type cytochrome [Shewanella sp. KX20019]
WP_202285430.1	Shewanella_DmsE	Shewanella sp. KX20019	674.6	280.9	WP_202285430.1 DmsE family decaheme c-type cytochrome [Shewanella sp. KX20019]
WP_220108024.1	Shewanella_DmsE	Shewanella nanhaiensis	674.2	285.3	WP_220108024.1 DmsE family decaheme c-type cytochrome [Shewanella nanhaiensis]
CAM2859101.1	Shewanella_DmsE	Shewanella loihica	673.9	283.4	CAM2859101.1 DmsE family decaheme c-type cytochrome [Shewanella loihica]
WP_011866323.1	Shewanella_DmsE	Shewanella loihica	673.9	283.4	WP_011866323.1 DmsE family decaheme c-type cytochrome [Shewanella loihica]
WP_160793692.1	Shewanella_DmsE	Shewanella insulae	673.5	284.2	WP_160793692.1 DmsE family decaheme c-type cytochrome [Shewanella insulae]
WP_239844011.1	Shewanella_DmsE	Shewanella sp. Isolate11	673.3	282.0	WP_239844011.1 DmsE family decaheme c-type cytochrome [Shewanella sp. Isolate11]
WP_345847664.1	Shewanella_DmsE	Shewanella algae	673.1	284.7	WP_345847664.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_012325733.1	Shewanella_DmsE	Shewanella woodyi	673.0	286.9	WP_012325733.1 DmsE family decaheme c-type cytochrome [Shewanella woodyi]
QYJ81218.1	Shewanella_DmsE	Shewanella aegiceratis	672.9	284.1	QYJ81218.1 DmsE family decaheme c-type cytochrome [Shewanella aegiceratis]
WP_220071835.1	Shewanella_DmsE	Shewanella aegiceratis	672.9	284.1	WP_220071835.1 DmsE family decaheme c-type cytochrome [Shewanella aegiceratis]
WP_144040039.1	Shewanella_DmsE	Shewanella hanedai	672.7	282.8	WP_144040039.1 DmsE family decaheme c-type cytochrome [Shewanella hanedai]
TRY14423.1	Shewanella_DmsE	Shewanella hanedai	672.7	282.8	TRY14423.1 DmsE family decaheme c-type cytochrome [Shewanella hanedai]
WP_239870536.1	Shewanella_DmsE	Shewanella insulae	672.5	281.0	WP_239870536.1 DmsE family decaheme c-type cytochrome [Shewanella insulae]
QYJ92574.1	Shewanella_DmsE	Shewanella spartinae	672.4	284.1	QYJ92574.1 DmsE family decaheme c-type cytochrome [Shewanella spartinae]
QYK11705.1	Shewanella_DmsE	Shewanella rhizosphaerae	672.4	284.1	QYK11705.1 DmsE family decaheme c-type cytochrome [Shewanella rhizosphaerae]
WP_220078676.1	Shewanella_DmsE	Shewanella	672.4	284.1	WP_220078676.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_281212614.1	Shewanella_DmsE	Shewanella insulae	672.2	281.1	WP_281212614.1 DmsE family decaheme c-type cytochrome [Shewanella insulae]
WP_394200462.1	Shewanella_DmsE	Shewanella waksmanii	672.1	280.1	WP_394200462.1 DmsE family decaheme c-type cytochrome [Shewanella waksmanii]
WP_144200463.1	Shewanella_DmsE	Shewanella sp. KCT	671.7	284.0	WP_144200463.1 DmsE family decaheme c-type cytochrome [Shewanella sp. KCT]
WP_248980457.1	Shewanella_DmsE	Shewanella abyssi	671.5	284.0	WP_248980457.1 DmsE family decaheme c-type cytochrome [Shewanella abyssi]
WP_041509369.1	Shewanella_DmsE	Shewanella	671.4	283.1	WP_041509369.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
CAM3898923.1	Shewanella_DmsE	Shewanella aquimarina	671.4	283.1	CAM3898923.1 DmsE family decaheme c-type cytochrome [Shewanella aquimarina]
WP_160794617.1	Shewanella_DmsE	Shewanella insulae	671.4	281.1	WP_160794617.1 DmsE family decaheme c-type cytochrome [Shewanella insulae]
WP_394388133.1	Shewanella_DmsE	Shewanella woodyi	671.4	285.4	WP_394388133.1 DmsE family decaheme c-type cytochrome [Shewanella woodyi]
WP_065108400.1	Shewanella_DmsE	Shewanella sp. MMG014	671.1	274.7	WP_065108400.1 DmsE family decaheme c-type cytochrome [Shewanella sp. MMG014]
WP_299788002.1	Shewanella_DmsE	Shewanella atlantica	671.0	283.2	WP_299788002.1 DmsE family decaheme c-type cytochrome [Shewanella atlantica]
QYJ91321.1	Shewanella_DmsE	Shewanella halotolerans	670.6	281.8	QYJ91321.1 DmsE family decaheme c-type cytochrome [Shewanella halotolerans]
WP_220060368.1	Shewanella_DmsE	Shewanella halotolerans	670.6	281.8	WP_220060368.1 DmsE family decaheme c-type cytochrome [Shewanella halotolerans]
WBJ93703.1	Shewanella_DmsE	Shewanella sp. MTB7	670.3	278.7	WBJ93703.1 DmsE family decaheme c-type cytochrome [Shewanella sp. MTB7]
WP_269967331.1	Shewanella_DmsE	unclassified Shewanella	670.3	278.7	WP_269967331.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
WP_239851405.1	Shewanella_DmsE	Shewanella sp. Isolate8	670.1	284.2	WP_239851405.1 DmsE family decaheme c-type cytochrome [Shewanella sp. Isolate8]
WP_239883135.1	Shewanella_DmsE	Shewanella sp. Isolate7	669.8	282.5	WP_239883135.1 DmsE family decaheme c-type cytochrome [Shewanella sp. Isolate7]
WP_220042866.1	Shewanella_DmsE	Shewanella alkalitolerans	669.7	282.5	WP_220042866.1 DmsE family decaheme c-type cytochrome [Shewanella alkalitolerans]
QYJ96457.1	Shewanella_DmsE	Shewanella alkalitolerans	669.7	282.5	QYJ96457.1 DmsE family decaheme c-type cytochrome [Shewanella alkalitolerans]
WP_028763572.1	Shewanella_DmsE	Shewanella colwelliana	669.3	281.3	WP_028763572.1 DmsE family decaheme c-type cytochrome [Shewanella colwelliana]
QFU22008.1	Shewanella_DmsE	Shewanella sp. YLB-09	669.2	284.9	QFU22008.1 DmsE family decaheme c-type cytochrome [Shewanella sp. YLB-09]
QPG57297.1	Shewanella_DmsE	Shewanella eurypsychrophilus	669.2	284.9	QPG57297.1 DmsE family decaheme c-type cytochrome [Shewanella eurypsychrophilus]
WP_142872660.1	Shewanella_DmsE	Shewanella	669.2	284.9	WP_142872660.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_248982914.1	Shewanella_DmsE	Shewanella olleyana	669.0	274.3	WP_248982914.1 DmsE family decaheme c-type cytochrome [Shewanella olleyana]
WP_420833163.1	Shewanella_DmsE	Shewanella gaetbuli	668.5	285.5	WP_420833163.1 DmsE family decaheme c-type cytochrome [Shewanella gaetbuli]
AQS37064.1	Shewanella_DmsE	Shewanella psychrophila	668.3	282.7	AQS37064.1 decaheme c-type cytochrome, DmsE family [Shewanella psychrophila]
WP_077752281.1	Shewanella_DmsE	Shewanella psychrophila	668.3	282.7	WP_077752281.1 DmsE family decaheme c-type cytochrome [Shewanella psychrophila]
WP_144047295.1	Shewanella_DmsE	Shewanella	667.3	282.9	WP_144047295.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
QDO84949.1	Shewanella_DmsE	Shewanella psychropiezotolerans	667.3	282.9	QDO84949.1 DmsE family decaheme c-type cytochrome [Shewanella psychropiezotolerans]
WP_220063715.1	Shewanella_DmsE	Shewanella mesophila	666.9	281.8	WP_220063715.1 DmsE family decaheme c-type cytochrome [Shewanella mesophila]
QYJ87386.1	Shewanella_DmsE	Shewanella mesophila	666.9	281.8	QYJ87386.1 DmsE family decaheme c-type cytochrome [Shewanella mesophila]
WP_220070680.1	Shewanella_DmsE	Shewanella psychrotolerans	666.4	283.6	WP_220070680.1 DmsE family decaheme c-type cytochrome [Shewanella psychrotolerans]
QYK02603.1	Shewanella_DmsE	Shewanella psychrotolerans	666.4	283.6	QYK02603.1 DmsE family decaheme c-type cytochrome [Shewanella psychrotolerans]
WP_012141871.1	Shewanella_DmsE	Shewanella sediminis	666.3	281.9	WP_012141871.1 DmsE family decaheme c-type cytochrome [Shewanella sediminis]
WP_193631019.1	Shewanella_DmsE	Shewanella benthica	666.2	287.9	WP_193631019.1 DmsE family decaheme c-type cytochrome [Shewanella benthica]
WP_226414417.1	Shewanella_DmsE	Shewanella glacialimarina	666.1	280.5	WP_226414417.1 DmsE family decaheme c-type cytochrome [Shewanella glacialimarina]
WP_011919066.1	Shewanella_DmsE	Shewanella putrefaciens	666.1	289.1	WP_011919066.1 DmsE family decaheme c-type cytochrome [Shewanella putrefaciens]
QGS50356.1	Shewanella_DmsE	Shewanella putrefaciens	666.1	289.1	QGS50356.1 DmsE family decaheme c-type cytochrome [Shewanella putrefaciens]
UCX04101.1	Shewanella_DmsE	Shewanella glacialimarina	666.1	280.5	UCX04101.1 DmsE family decaheme c-type cytochrome [Shewanella glacialimarina]
WP_126503520.1	Shewanella_DmsE	Shewanella atlantica	666.0	282.1	WP_126503520.1 DmsE family decaheme c-type cytochrome [Shewanella atlantica]
RTR34359.1	Shewanella_DmsE	Shewanella atlantica	666.0	282.1	RTR34359.1 DmsE family decaheme c-type cytochrome [Shewanella atlantica]
WP_005502187.1	Shewanella_DmsE	Shewanella benthica	666.0	281.3	WP_005502187.1 DmsE family decaheme c-type cytochrome [Shewanella benthica]
QLE84959.1	Shewanella_DmsE	Shewanella sp. Scap07	665.8	275.0	QLE84959.1 DmsE family decaheme c-type cytochrome [Shewanella sp. Scap07]
WP_179024228.1	Shewanella_DmsE	Shewanella sp. Scap07	665.8	275.0	WP_179024228.1 DmsE family decaheme c-type cytochrome [Shewanella sp. Scap07]
WP_126520794.1	Shewanella_DmsE	Shewanella canadensis	665.6	283.0	WP_126520794.1 DmsE family decaheme c-type cytochrome [Shewanella canadensis]
RTR38557.1	Shewanella_DmsE	Shewanella canadensis	665.6	283.0	RTR38557.1 DmsE family decaheme c-type cytochrome [Shewanella canadensis]
WP_287947212.1	Shewanella_DmsE	Shewanella	665.5	287.5	WP_287947212.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_484349768.1	Shewanella_DmsE	Shewanella sp.	665.3	281.3	WP_484349768.1 DmsE family decaheme c-type cytochrome [Shewanella sp.]
WP_033537650.1	Shewanella_DmsE	Shewanella	665.3	283.7	WP_033537650.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
QDF74818.1	Shewanella_DmsE	Shewanella marisflavi	665.3	283.7	QDF74818.1 DmsE family decaheme c-type cytochrome [Shewanella marisflavi]
XXI23813.1	Shewanella_DmsE	Shewanella sp. HL-SH4	665.1	279.4	XXI23813.1 DmsE family decaheme c-type cytochrome [Shewanella sp. HL-SH4]
WP_434951079.1	Shewanella_DmsE	Shewanella sp. HL-SH4	665.1	279.4	WP_434951079.1 DmsE family decaheme c-type cytochrome [Shewanella sp. HL-SH4]
UPO32597.1	Shewanella_DmsE	Shewanella sp. JNE2	664.9	286.6	UPO32597.1 DmsE family decaheme c-type cytochrome [Shewanella sp. JNE2]
WP_248066399.1	Shewanella_DmsE	unclassified Shewanella	664.9	286.6	WP_248066399.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
WP_220755525.1	Shewanella_DmsE	uncultured Shewanella sp.	664.8	273.5	WP_220755525.1 DmsE family decaheme c-type cytochrome [uncultured Shewanella sp.]
WP_371931124.1	Shewanella_DmsE	Shewanella	664.6	277.0	WP_371931124.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_373290875.1	Shewanella_DmsE	Shewanella aestuarii	664.6	278.0	WP_373290875.1 DmsE family decaheme c-type cytochrome [Shewanella aestuarii]
XXI27364.1	Shewanella_DmsE	Shewanella sp. HL-SH2	664.5	279.6	XXI27364.1 DmsE family decaheme c-type cytochrome [Shewanella sp. HL-SH2]
XXI21780.1	Shewanella_DmsE	Shewanella sp. HL-SH5	664.5	279.6	XXI21780.1 DmsE family decaheme c-type cytochrome [Shewanella sp. HL-SH5]
WP_434926676.1	Shewanella_DmsE	unclassified Shewanella	664.5	279.6	WP_434926676.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
WP_418076016.1	Shewanella_DmsE	Shewanella	664.4	283.9	WP_418076016.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_144214024.1	Shewanella_DmsE	Shewanella donghaensis	664.2	271.0	WP_144214024.1 DmsE family decaheme c-type cytochrome [Shewanella donghaensis]
WP_420876304.1	Shewanella_DmsE	Shewanella japonica	664.2	269.6	WP_420876304.1 DmsE family decaheme c-type cytochrome [Shewanella japonica]
WP_434938487.1	Shewanella_DmsE	Shewanella sp. HL-SH8	663.9	279.7	WP_434938487.1 DmsE family decaheme c-type cytochrome [Shewanella sp. HL-SH8]
XXI30856.1	Shewanella_DmsE	Shewanella sp. HL-SH8	663.9	279.7	XXI30856.1 DmsE family decaheme c-type cytochrome [Shewanella sp. HL-SH8]
